Name,LoadAvg,LustreRPCTotals
r3741709-n43543,49.48,234
r5130449-n139058,40.58,323
r9189566-n851693,40.57,228
r9189566-n851693,40.36,228
r8333645-n851693,40.22,228
r629115-n851693,40.2,228
r629115-n851693,40.2,228
r8333645-n851693,40.1,228
r9192091-n685852,39.35,593
r2100214-n911952,37.35,236
r2100214-n911952,34.74,244
r9192091-n830961,31.38,265
r9192091-n851693,26.76,672
r9192091-n851693,25.87,657
r9175025-n976057,24.16,227
r8939293-n139058,22.25,240
r8607415-n976057,21.26,474
r8607415-n976057,21.26,252
r5189505-n830961,20.01,236
r9175025-n976057,19.28,228
r3117156-n208530,17.64,240
r8937440-n386398,15.29,228
r4327055-n139058,12.6,721
r1682297-n911952,11.82,318
r1682297-n911952,10.78,285
r1485405-n386398,9.3,268
r9352821-n851693,7.6,284
r9535192-n976057,5.75,267
r9535192-n976057,5.38,268
r9189566-n386398,4.68,705
r2998125-n208530,4.26,236
r6760045-n851693,4.15,293
r9189566-n911952,4.12,228
r4858666-n911952,4.07,228
r3226521-n976057,4.04,281
r7343737-n851693,4.04,228
r7343737-n851693,4.03,228
r4858666-n911952,4,228
r9189566-n911952,4,228
r3226521-n386398,3.92,235
r5189505-n976057,3.26,236
r5189505-n976057,3.26,235
r5715171-n208530,3.25,598
r2652301-n911952,3.25,236
r5130449-n136082,3.22,228
r1457839-n911952,3.2,228
r2652301-n911952,3.08,236
r3226521-n830961,3.07,292
r1457839-n911952,3.05,228
r2100214-n851693,3.02,228
r2100214-n851693,3,228
r4179716-n851693,2.92,228
r9352821-n851693,2.69,252
r8015356-n911952,2.56,668
r9192091-n976057,2.51,239
r6760045-n851693,2.49,326
r3226521-n976057,2.46,252
r2582019-n851693,2.46,242
r9192091-n976057,2.29,239
r8642123-n851693,2.28,290
r3405251-n208530,2.26,590
r8642123-n851693,2.17,329
r9102715-n911952,2.15,619
r9102715-n911952,2.14,598
r2825489-n208530,2.13,614
r2582019-n386398,2.12,236
r3879907-n139058,2.09,228
r5715171-n139058,2.07,228
r7217787-n43543,2.06,606
r8333645-n911952,2.02,606
r9555635-n139058,2.02,590
r8333645-n911952,2,612
r2582019-n851693,2,240
r2998125-n136082,2,227
r8333645-n386398,1.65,215
r8062914-n208530,1.61,227
r8607415-n911952,1.43,228
r1485405-n43543,1.39,306
r8333645-n685852,1.32,236
r9192091-n911952,1.26,795
r8607415-n911952,1.24,228
r9192091-n911952,1.19,796
r3879907-n136082,1.19,226
r9192091-n43543,1.17,413
r9102715-n386398,1.04,236
r3041626-n976057,0.75,228
r4822976-n208530,0.4,228
r9352821-n976057,0.34,228
r9102715-n43543,0.33,225
r4229531-n911952,0.26,227
r4229531-n911952,0.25,227
r4858666-n386398,0.2,228
r4229531-n386398,0.18,228
r3741709-n851693,0.17,228
r3741709-n851693,0.14,228
r4858666-n386398,0.14,228
r9535192-n851693,0.14,228
r3041626-n976057,0.12,228
r5573787-n911952,0.11,228
r3041626-n911952,0.1,228
r9535192-n851693,0.1,228
r7343737-n830961,0.09,376
r3307591-n172998,0.09,331
r3226521-n851693,0.09,228
r3041626-n685852,0.08,228
r5573787-n911952,0.08,228
r9040233-n851693,0.08,228
r3041626-n830961,0.07,229
r3041626-n851693,0.07,229
r3041626-n911952,0.07,228
r9352821-n976057,0.06,228
r629115-n685852,0.05,228
r7343737-n386398,0.05,228
r7343737-n976057,0.05,228
r9175025-n851693,0.04,237
r9040233-n851693,0.04,228
r3226521-n851693,0.02,228
r1682297-n976057,0.01,236
r1485405-n976057,0.01,228
r1682297-n976057,0,236
r4858666-n685852,0,229
r1485405-n976057,0,228
r7343737-n976057,0,228
r1750190-n48252,0,226
